mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-5.17138,2.91564,-4.23198,4.69774,5.19834,4.55039,hand_wash
-4.30001,2.93244,-5.95785,3.35736,-4.97134,3.69550,hand_wash
-4.19939,4.25140,-5.71675,3.73537,-3.90839,5.92890,hand_wash
-4.40341,4.14996,-6.47603,3.72099,-5.02697,6.84655,hand_wash
-4.65354,2.29272,-5.82837,6.15918,2.51222,4.97308,hand_wash
-4.31596,2.82972,-6.25013,3.88368,-4.22831,4.71283,hand_wash
-4.75748,2.34663,-2.40245,2.50359,7.48914,3.21405,hand_wash
-3.59329,1.32602,-5.37257,2.89791,3.77013,5.64166,hand_wash
-4.78481,2.56807,-4.55304,3.01755,-5.96434,3.55874,hand_wash
-5.03634,3.15928,-5.63375,5.42849,3.19735,5.11124,hand_wash
-4.21020,2.57883,-5.41575,3.22526,-5.65201,4.69966,hand_wash
-4.17768,2.38171,-6.60408,3.33342,-1.93135,4.87980,hand_wash
-2.50182,0.83806,-3.87551,1.24797,8.18079,2.16364,hand_wash
-2.75050,2.15761,-6.03993,3.83415,3.47791,4.99670,hand_wash
-2.87835,4.35168,-7.23398,3.61378,-4.74355,7.10942,hand_wash
-3.49965,3.29465,-7.86446,5.76018,0.38575,6.69855,hand_wash
-4.23049,4.32659,-7.15163,4.17570,-3.28788,5.91218,hand_wash
-3.84274,2.81950,-7.31465,3.61813,-0.02164,5.30688,hand_wash
-3.34472,2.27805,-6.91014,2.67937,-3.74355,3.75407,hand_wash
-2.88129,1.69881,-6.10016,2.00243,5.98123,2.71248,hand_wash
-2.63273,2.58578,-4.21488,3.16242,8.15733,6.99841,hand_wash
2.98668,1.71718,-8.61230,2.76082,0.91244,3.09387,hand_wash
5.88638,2.56221,-5.92633,4.26469,2.08453,3.13489,hand_wash
6.39419,2.46316,-4.40421,2.71571,3.35738,4.05829,hand_wash
4.26584,2.24103,-3.37259,5.75697,4.85198,4.01131,hand_wash
5.20159,2.48265,-6.32440,2.78094,5.26843,5.99060,hand_wash
5.41145,1.95219,-5.11169,2.85644,3.93452,3.89716,hand_wash
5.94967,1.72121,-6.58678,1.92832,1.15157,2.73806,hand_wash
5.79693,1.00712,-5.63915,2.91854,3.16637,3.31326,hand_wash
4.79321,1.84567,-6.60150,3.35197,3.18794,2.27615,hand_wash
4.25328,1.06202,-7.30636,1.68978,4.04844,1.47569,hand_wash
5.02760,1.35775,-7.20746,1.76230,3.17361,1.82247,hand_wash
4.85686,1.19406,-5.01258,4.07479,3.87157,3.99095,hand_wash
1.05395,1.57662,-8.84687,2.79366,-1.05140,3.48369,hand_wash
2.25824,2.06593,-8.05861,4.06830,-2.06921,3.28643,hand_wash
1.83892,2.43164,-8.08179,3.03549,-2.79492,3.73186,hand_wash
2.04754,1.90881,-6.47948,5.52075,4.84817,3.97877,hand_wash
2.18977,2.27945,-7.29941,5.04394,-1.63742,4.61763,hand_wash
2.17138,2.25784,-7.36409,4.68673,-0.61707,3.93111,hand_wash
2.59652,1.51715,-5.86009,4.60461,5.75556,3.90943,hand_wash
-2.87745,0.36328,-5.80493,3.39995,5.39748,3.45044,hand_wash
-3.11165,2.74203,-6.61942,2.19943,-4.65908,3.88661,hand_wash
-3.34264,2.90133,-7.19727,3.45559,-3.07335,4.53900,hand_wash
-3.81637,2.38535,-7.43404,2.73398,-2.84665,3.80588,hand_wash
-3.52752,2.33998,-7.25708,2.44211,-3.87930,3.50537,hand_wash
